hub,build_smr-noCCS,build_smr-low,build_smr-high,build_smr-high-ptc,build_electrolyzer,build_electrolyzer-RE,transportationFuel_tonnesperday,transportationFuel_carbonSensitive_tonnesperday,industrialFuel_tonnesperday,existing_tonnesperday,ng_usd_per_mmbtu,e_usd_per_kwh,capital_pm,water_usd_per_L
wichitaFalls,0,1,1,1,1,1,0,0,0,0,4.118744245,0.038959813,0.938876459,0.003
waco,0,1,1,1,1,1,0,21,0,0,4.021041851,0.043632017,0.926566559,0.003
vanHorn,0,1,1,1,1,1,0,0,0,0,4.435595592,0.038959813,0.955274908,0.003
tyler,0,1,1,1,1,1,0,0,0,0,4.150365337,0.043632017,0.926886126,0.003
theWoodlands,0,1,1,1,1,0,0,0,0,0,4.143841691,0.046236011,0.916361484,0.003
texasCity,0,1,1,1,1,1,0,0,0,538,4.143461432,0.046236011,0.913578331,0.003
texarkana,0,1,1,1,1,1,0,0,0,0,4.351826731,0.043632017,0.931947656,0.003
sugarLand,0,1,1,1,1,0,0,18,0,0,4.154043616,0.046236011,0.914640102,0.003
sonora,0,1,1,1,1,1,0,0,0,0,4.199531735,0.038959813,0.92806014,0.003
sanJacinto,0,1,1,1,1,1,0,0,0,538,4.159892325,0.043632017,0.916951128,0.003
sanAntonio,0,1,1,1,1,0,0,397,0,0,4.266970286,0.043860413,0.919241878,0.003
sanAngelo,0,1,1,1,1,1,0,0,0,0,4.159230042,0.038959813,0.930834353,0.003
portArthur,0,1,1,1,1,1,0,0,0,538,4.188542715,0.046236011,0.91437932,0.003
pearland,0,1,1,1,1,0,0,20,0,0,4.155303773,0.046236011,0.914163499,0.003
pasadena,0,1,1,1,1,0,0,24,0,538,4.140460697,0.046236011,0.914349379,0.003
orange,0,1,1,1,1,1,0,0,0,538,4.192498119,0.046236011,0.914948143,0.003
odessa,0,1,1,1,1,1,0,19,0,0,4.281039576,0.038959813,0.941398556,0.003
montBelvieu,0,1,1,1,1,1,0,0,0,538,4.161970633,0.046236011,0.914021937,0.003
midland,0,1,1,1,1,1,0,22,0,0,4.241608162,0.038959813,0.940270121,0.003
medicalCenter,0,1,1,1,1,1,0,0,0,0,4.064589996,0.043632017,0.934919552,0.003
mcallen,0,1,1,1,1,1,0,22,0,0,4.282127991,0.041660254,0.911220159,0.003
lubbock,0,1,1,1,1,1,0,40,0,0,4.15654518,0.038959813,0.939822512,0.003
leagueCity,0,1,1,1,1,0,0,0,0,0,4.143461432,0.046236011,0.913578331,0.003
laredo,0,1,1,1,1,1,0,40,0,0,4.304449221,0.041660254,0.913499032,0.003
laPorte,0,1,1,1,1,0,0,0,0,538,4.140460697,0.046236011,0.914349379,0.003
killeen,0,1,1,1,1,1,0,23,0,0,4.073876451,0.041660254,0.924616394,0.003
houston,0,1,1,1,1,0,0,359,0,0,4.140460697,0.046236011,0.914349379,0.003
freeport,0,1,1,1,1,1,0,0,0,538,4.155303773,0.046236011,0.914163499,0.003
fortWorth,0,1,1,1,1,0,0,589,0,0,4.003925592,0.043632017,0.932980206,0.003
elPaso,0,1,1,1,1,1,0,105,0,0,4.656782291,0.055,0.971240332,0.003
deerPark,0,1,1,1,1,0,0,0,0,538,4.140460697,0.046236011,0.914349379,0.003
dallas,0,1,1,1,1,0,0,589,0,0,4.049164359,0.043632017,0.932665854,0.003
corpusChristi,0,1,1,1,1,1,0,51,0,0,4.267615799,0.041660254,0.913559979,0.003
collegeStation,0,1,1,1,1,1,0,0,0,0,4.128985647,0.043632017,0.918438632,0.003
chocolateBay,0,1,1,1,1,1,0,20,0,538,4.22252699,0.041660254,0.91308298,0.003
channelview,0,1,1,1,1,0,0,0,0,538,4.140460697,0.046236011,0.914349379,0.003
centerville,0,1,1,1,1,1,0,0,0,0,4.125553244,0.043632017,0.921887964,0.003
brownsville,0,1,1,1,1,1,0,28,0,0,4.271289896,0.041660254,0.910581758,0.003
brazoria,0,1,1,1,1,1,0,0,0,538,4.155303773,0.046236011,0.914163499,0.003
beaumont,0,1,1,1,1,1,0,0,0,538,4.188542715,0.046236011,0.91437932,0.003
baytown,0,1,1,1,1,1,0,0,0,538,4.140460697,0.046236011,0.914349379,0.003
austin,0,1,1,1,1,0,0,354,0,0,4.182516115,0.043290426,0.921993104,0.003
amarillo,0,1,1,1,1,1,0,31,0,0,4.150219349,0.038959813,0.946982956,0.003
abilene,0,1,1,1,1,1,0,19,0,0,4.053912074,0.038959813,0.933288381,0.003
