convertor,conv_capacity,conv_cost_capital,conv_cost_fixed,conv_cost_variable,conv_e_price,conv_utilization
abilene_converter_fuelDispenserPipeline,39.583333333333336,3541233.967907922,1469.929200075,0,76.75083161,0.6
abilene_converter_purification,310.52631578947364,48530.995812,0.0,0,70.1276634,0.95
amarillo_converter_fuelDispenserPipeline,64.58333333333334,3593196.142894072,1491.4981557,0,76.75083161,0.6
austin_converter_fuelDispenserPipeline,737.5,3498375.598079648,1452.1391388,0,85.28213922,0.6
brownsville_converter_fuelDispenserPipeline,58.333333333333336,3455076.820448396,1434.16626885,0,82.07070038,0.6
brownsville_converter_purification,36.84210526315789,47350.251416,0.0,0,74.9884572,0.95
chocolateBay_converter_fuelDispenserPipeline,41.66666666666667,3464567.36215876,1438.1056935,0,82.07070038,0.6
chocolateBay_converter_purification,26.31578947368421,47480.314959999996,0.0,0,74.9884572,0.95
corpusChristi_converter_fuelDispenserPipeline,106.25,3466377.269038398,1438.856966925,0,82.07070038,0.6
corpusChristi_converter_purification,67.10526315789474,47505.118908,0.0,0,74.9884572,0.95
dallas_converter_fuelDispenserPipeline,1227.0833333333335,3538871.8751151483,1468.94872005,0,85.95507349,0.6
dallas_converter_purification,775.0,48498.624408,0.0,0,78.5376306,0.95
elPaso_converter_fuelDispenserPipeline,218.75,3685237.408608184,1529.7035229,0,108.35,0.6
fortWorth_converter_fuelDispenserPipeline,1227.0833333333335,3540064.6403985717,1469.44382445,0,85.95507349,0.6
fortWorth_converter_purification,775.0,48514.970712,0.0,0,78.5376306,0.95
houston_converter_fuelDispenserPipeline,747.9166666666667,3469372.538401198,1440.100271925,0,91.08494167,0.6
houston_converter_purification,496.05263157894734,47546.167708,0.0,0,83.2248198,0.95
killeen_converter_fuelDispenserPipeline,47.91666666666667,3508329.309970628,1456.2708205499998,0,82.07070038,0.6
killeen_converter_purification,1018.4210526315788,48080.052487999994,0.0,0,74.9884572,0.95
laredo_converter_fuelDispenserPipeline,83.33333333333334,3466146.014057584,1438.7609754,0,82.07070038,0.6
laredo_converter_purification,52.63157894736842,47501.949664,0.0,0,74.9884572,0.95
lubbock_converter_fuelDispenserPipeline,83.33333333333334,3566026.826277344,1480.2204564,0,76.75083161,0.6
mcallen_converter_fuelDispenserPipeline,45.833333333333336,3457499.1449435577,1435.171750425,0,82.07070038,0.6
mcallen_converter_purification,28.94736842105263,47383.448268,0.0,0,74.9884572,0.95
midland_converter_fuelDispenserPipeline,45.833333333333336,3567725.2168578017,1480.925440575,0,76.75083161,0.6
odessa_converter_fuelDispenserPipeline,39.583333333333336,3572006.907741272,1482.7027257,0,76.75083161,0.6
pasadena_converter_fuelDispenserPipeline,50.0,3469372.538401198,1440.100271925,0,91.08494167,0.6
pasadena_converter_purification,31.57894736842105,47546.167708,0.0,0,83.2248198,0.95
pearland_converter_fuelDispenserPipeline,41.66666666666667,3468667.242392638,1439.807510925,0,91.08494167,0.6
pearland_converter_purification,26.31578947368421,47536.501948000005,0.0,0,83.2248198,0.95
sanAntonio_converter_fuelDispenserPipeline,827.0833333333334,3487936.450691836,1447.80595785,0,86.40501361,0.6
sugarLand_converter_fuelDispenserPipeline,37.5,3470475.646704924,1440.55816065,0,91.08494167,0.6
waco_converter_fuelDispenserPipeline,43.75,3515728.941940358,1459.342330425,0,85.95507349,0.6
waco_converter_purification,27.63157894736842,48181.461068,0.0,0,78.5376306,0.95
